prediction_id,created_at,symbol_name,symbol_code,her_action,reverse_view,confidence,day_number,date,close_price,change_pct_close,result
91,2024-06-14 11:51:49+00:00,鴻海,2317,持有獲利,空,,1,2024-06-17,200.0,4.17,loss
91,2024-06-14 11:51:49+00:00,鴻海,2317,持有獲利,空,,2,2024-06-18,198.5,3.39,loss
91,2024-06-14 11:51:49+00:00,鴻海,2317,持有獲利,空,,3,2024-06-19,203.0,5.73,loss
91,2024-06-14 11:51:49+00:00,鴻海,2317,持有獲利,空,,4,2024-06-20,217.5,13.28,loss
91,2024-06-14 11:51:49+00:00,鴻海,2317,持有獲利,空,,5,2024-06-21,212.0,10.42,loss
101,2024-06-20 01:44:36+00:00,鴻海,2317,買入,空,,1,2024-06-20,217.5,6.1,loss
101,2024-06-20 01:44:36+00:00,鴻海,2317,買入,空,,2,2024-06-21,212.0,3.41,loss
101,2024-06-20 01:44:36+00:00,鴻海,2317,買入,空,,3,2024-06-24,206.0,0.49,loss
101,2024-06-20 01:44:36+00:00,鴻海,2317,買入,空,,4,2024-06-25,211.0,2.93,loss
101,2024-06-20 01:44:36+00:00,鴻海,2317,買入,空,,5,2024-06-26,210.0,2.44,loss
102,2024-06-21 05:43:26+00:00,鴻海,2317,買入,空,,1,2024-06-24,206.0,-5.29,win
102,2024-06-21 05:43:26+00:00,鴻海,2317,買入,空,,2,2024-06-25,211.0,-2.99,win
102,2024-06-21 05:43:26+00:00,鴻海,2317,買入,空,,3,2024-06-26,210.0,-3.45,win
102,2024-06-21 05:43:26+00:00,鴻海,2317,買入,空,,4,2024-06-27,212.5,-2.3,win
102,2024-06-21 05:43:26+00:00,鴻海,2317,買入,空,,5,2024-06-28,214.0,-1.61,win
113,2024-07-05 01:36:43+00:00,鴻海,2317,看空,多,,1,2024-07-05,214.5,0.23,win
113,2024-07-05 01:36:43+00:00,鴻海,2317,看空,多,,2,2024-07-08,226.5,5.84,win
113,2024-07-05 01:36:43+00:00,鴻海,2317,看空,多,,3,2024-07-09,225.5,5.37,win
113,2024-07-05 01:36:43+00:00,鴻海,2317,看空,多,,4,2024-07-10,223.5,4.44,win
113,2024-07-05 01:36:43+00:00,鴻海,2317,看空,多,,5,2024-07-11,225.5,5.37,win
115,2024-07-08 01:11:07+00:00,鴻海,2317,賣出,多,,1,2024-07-08,226.5,4.38,win
115,2024-07-08 01:11:07+00:00,鴻海,2317,賣出,多,,2,2024-07-09,225.5,3.92,win
115,2024-07-08 01:11:07+00:00,鴻海,2317,賣出,多,,3,2024-07-10,223.5,3.0,win
115,2024-07-08 01:11:07+00:00,鴻海,2317,賣出,多,,4,2024-07-11,225.5,3.92,win
115,2024-07-08 01:11:07+00:00,鴻海,2317,賣出,多,,5,2024-07-12,216.0,-0.46,loss
116,2024-07-08 01:36:39+00:00,鴻海,2317,賣出,多,,1,2024-07-08,226.5,4.38,win
116,2024-07-08 01:36:39+00:00,鴻海,2317,賣出,多,,2,2024-07-09,225.5,3.92,win
116,2024-07-08 01:36:39+00:00,鴻海,2317,賣出,多,,3,2024-07-10,223.5,3.0,win
116,2024-07-08 01:36:39+00:00,鴻海,2317,賣出,多,,4,2024-07-11,225.5,3.92,win
116,2024-07-08 01:36:39+00:00,鴻海,2317,賣出,多,,5,2024-07-12,216.0,-0.46,loss
170,2024-08-23 00:55:45+00:00,鴻海,2317,看多,空,,1,2024-08-26,182.0,1.39,loss
170,2024-08-23 00:55:45+00:00,鴻海,2317,看多,空,,2,2024-08-27,180.5,0.56,loss
